shortcode,media_id,mediaID_sec,created_at_unix,created_at_utc,epoch_estimate,is_multiple,count,is_video,vid_duration,off_by
rF1ndZP-Tj,7.7626231887809E+017,92537679.538,1406757701,2014-07-30 22:01:41,2011-08-24 21:07:01,False,None,False,None,1
r_FI_Rv-Yc,7.9237466737239E+017,94458421.155,1408678442,2014-08-22 03:34:02,2011-08-24 21:07:00,False,None,True,0,0
rglz-yv-dv,7.83792635000121E+017,93435363.173,1407655384,2014-08-10 07:23:04,2011-08-24 21:07:00,False,None,False,None,0
rh7YKiv-cZ,7.84168955471194E+017,93480224.069,1407700245,2014-08-10 19:50:45,2011-08-24 21:07:00,False,None,False,None,0
rHl87iP-WK,7.76756375559595E+017,92596575.684,1406816597,2014-07-31 14:23:17,2011-08-24 21:07:01,False,None,False,None,1
ri3qfwv-VS,7.844340979959E+017,93511831.521,1407731853,2014-08-11 04:37:33,2011-08-24 21:07:01,False,None,False,None,1
rJa_QMP-Qp,7.77271106619827E+017,92657936.408,1406877958,2014-08-01 07:25:58,2011-08-24 21:07:01,False,None,False,None,1
rnlwwWP-cc,7.85762738168129E+017,93670217.772,1407890239,2014-08-13 00:37:19,2011-08-24 21:07:01,False,None,False,None,1
rnpb85v-SO,7.85778900725655E+017,93672144.499,1407892166,2014-08-13 01:09:26,2011-08-24 21:07:01,False,None,False,None,1
rnpl9tP-Sh,7.85779588784449E+017,93672226.522,1407892248,2014-08-13 01:10:48,2011-08-24 21:07:01,False,None,False,None,1
rnpRW9P-R6,7.85778172787418E+017,93672057.722,1407892079,2014-08-13 01:07:59,2011-08-24 21:07:01,False,None,False,None,1
